schema_version,item_id,resource_path,weight,value,max_stack,defense_bonus,heal_amount,use_duration_seconds,max_health_bonus,stamina_restore,thirst_restore,satiety_restore
1,ammo_S,res://data/items/ammo/ammo_S.tres,0.012,3,60,0,0,0,0,0,0,0
1,ammo_SG,res://data/items/ammo/ammo_SG.tres,0.04,8,30,0,0,0,0,0,0,0
1,basic_helmet,res://data/items/armor/basic_helmet.tres,1.4,140,1,1,0,0,0,0,0,0
1,light_armor,res://data/items/armor/light_armor.tres,4.5,260,1,4,0,0,0,0,0,0
1,extended_magazine,res://data/items/attachments/extended_magazine.tres,0.38,55,1,0,0,0,0,0,0,0
1,tactical_glasses,res://data/items/attachments/tactical_glasses.tres,0.18,80,1,0,0,0,0,0,0,0
1,tactical_headset,res://data/items/attachments/tactical_headset.tres,0.35,95,1,0,0,0,0,0,0,0
1,small_backpack,res://data/items/backpacks/small_backpack.tres,1.2,90,1,0,0,0,0,0,0,0
1,stamina_potion,res://data/items/consumables/stamina_potion.tres,0.25,35,5,0,0,2.2,0,30,0,0
1,wood,res://data/items/crafting/wood.tres,0.6,6,20,0,0,0,0,0,0,0
1,cash,res://data/items/currency/cash.tres,0,1,999,0,0,0,0,0,0,0
1,bottled_water,res://data/items/food/bottled_water.tres,0.6,10,10,0,5,1.4,0,0,0,0
1,bread,res://data/items/food/bread.tres,0.35,12,10,0,8,1.8,0,0,0,0
1,warehouse_key,res://data/items/keys/warehouse_key.tres,0.03,80,1,0,0,0,0,0,0,0
1,junk,res://data/items/loot/junk.tres,0.3,2,20,0,0,0,0,0,0,0
1,bandage,res://data/items/medical/bandage.tres,0.12,12,10,0,25,2.5,0,0,0,0
1,defense_totem,res://data/items/totems/defense_totem.tres,0.45,190,1,2,0,0,0,0,0,0
1,life_totem,res://data/items/totems/life_totem.tres,0.4,180,1,0,0,0,20,0,0,0
1,combat_knife,res://data/items/weapons/combat_knife.tres,0.45,45,1,0,0,0,0,0,0,0
1,pistol_S,res://data/items/weapons/pistol_S.tres,1.1,120,1,0,0,0,0,0,0,0
1,shotgun_SG,res://data/items/weapons/shotgun_SG.tres,3.6,460,1,0,0,0,0,0,0,0
1,smg_S,res://data/items/weapons/smg_S.tres,2.35,320,1,0,0,0,0,0,0,0
