keys,zh_TW,en
ui.common.or_separator, 或 , or 
ui.item.needed_source.quest,任務,Quest
ui.item.needed_source.workbench,工作台,Workbench
ui.item.needed_source.recipe,配方,Recipe
ui.stash.sorted_value,已依價值整理倉庫,Warehouse sorted by value
ui.stash.locked,已鎖定,Locked
ui.stash.unlocked,已解鎖,Unlocked
ui.stash.locked_item,鎖定物品,Locked item
ui.stash.needed_marked,已標記需求,Marked as needed
ui.stash.needed_unmarked,已取消需求標記,Needed mark removed
ui.stash.store_all,全部存入,Store All
ui.stash.store_all_done,已將可存物品放入倉庫,Stored available items in warehouse
ui.stash.store_all_partial,部分物品已存入倉庫,Some items were stored in warehouse
ui.stash.store_all_locked_only,只有鎖定物品無法存入,Only locked items could not be stored
ui.stash.store_all_empty,沒有可存入的物品,No items to store
ui.stash.storage_upgrade,倉庫擴容,Storage Upgrade
ui.stash.storage_upgrade_owned,已擁有擴容,Upgrade Owned
ui.stash.storage_upgrade_owned_format,已擁有：%s,Owned: %s
ui.stash.storage_upgrade_no_save,無法讀取存檔,Save data unavailable
ui.stash.storage_upgrade_missing_money,資金不足,Not enough money
ui.stash.storage_upgrade_missing_items,材料不足：%s,Missing materials: %s
ui.stash.storage_upgrade_done,倉庫容量已提升,Storage capacity upgraded
ui.stash.storage_upgrade_failed,倉庫擴容失敗,Storage upgrade failed
ui.equipment.weapon_mag,彈匣,Magazine
ui.equipment.weapon_grip,握把,Grip
ui.equipment.weapon_muzzle,槍口,Muzzle
ui.equipment.weapon_scope,瞄具,Scope
ui.equipment.weapon_stock,槍托,Stock
ui.equipment.weapon_tactic,戰術配件,Tactical Attachment
ui.item.weapon_attachment_slots_format,配件槽：%s,Attachment slots: %s
ui.top.quest_board_title,任務清單,Quest List
ui.top.quest_board_hint,選擇可接任務或檢查目前進度,Choose available quests or review current progress
ui.top.quest_sort_default,預設排序,Default Order
ui.top.quest_conditions,條件,Conditions
ui.top.quest_rewards,獎勵,Rewards
ui.top.quest_empty_category,此分類沒有任務,No quests in this category
ui.top.quest_empty_category_hint,切換分類或返回基地查看新的任務。,Switch categories or return to base to find new quests.
ui.top.quest_select_hint,選擇任務查看詳情,Select a quest to view details
ui.top.quest_action_unavailable,目前無法執行此任務動作,Quest action unavailable
quest.first_salvage.name,第一次回收,First Salvage
quest.first_salvage.desc,帶回基礎材料以證明你能安全撤離,Bring back basic materials to prove you can extract safely
quest.first_scavenger_hunt.name,清理拾荒者,First Scavenger Hunt
quest.first_scavenger_hunt.desc,擊倒巡邏的拾荒者並活著回到基地,Defeat a patrolling scavenger and return to base alive
quest.radio_tower_scout.name,偵察訊號塔,Radio Tower Scout
quest.radio_tower_scout.desc,抵達訊號塔並記錄位置以拓展行動情報,Reach the signal tower and record its location for future raids
base_upgrade.storage_expansion_level_1.name,倉庫擴容 I,Storage Expansion I
base_upgrade.storage_expansion_level_2.name,倉庫擴容 II,Storage Expansion II
base_upgrade.workbench_fix_station.name,修理站,Fix Station
base_upgrade.workbench_disassemble_station.name,拆解站,Disassemble Station
ui.top.backpack,背包,Backpack
ui.top.quests,任務,Quests
ui.top.status,狀態,Status
ui.top.map,地圖,Map
ui.top.codex,圖鑑,Codex
ui.top.quest_panel_title,任務清單,Quest List
ui.top.quest_panel_hint,追蹤目前可完成的回收與擊殺目標。,Track current salvage and hunt objectives
ui.top.quest_empty,沒有任務,No quests
ui.top.quest_inactive,未啟用,Inactive
ui.top.status_panel_title,角色狀態,Character Status
ui.top.status_panel_hint,查看生命、體力、負重、裝備與武器彈藥。,Review health stamina carry weight equipment and ammo
ui.top.status_health,生命,Health
ui.top.status_stamina,體力,Stamina
ui.top.status_weight,負重,Carry weight
ui.top.status_weapon_ammo,武器彈藥,Weapon ammo
ui.top.status_equipment,裝備,Equipment
ui.top.status_none,無,None
ui.top.status_slot_primary_weapon,主武器,Primary weapon
ui.top.status_slot_sidearm,副武器,Sidearm
ui.top.status_slot_melee,近戰,Melee
ui.top.status_slot_helmet,頭盔,Helmet
ui.top.status_slot_armor,護甲,Armor
ui.top.status_slot_glasses,眼鏡,Glasses
ui.top.status_slot_headset,耳機,Headset
ui.top.status_slot_backpack,背包,Backpack
ui.top.status_slot_charm_1,圖騰 1,Totem 1
ui.top.status_slot_charm_2,圖騰 2,Totem 2
ui.top.status_armor_no_bonus,防護效果：尚未提供減傷,Armor effect: no damage reduction yet
ui.top.status_armor_bonus_format,防護效果：每次受擊 -%.0f 傷害,Armor effect: -%.0f damage per hit
ui.top.status_armor_missing,未裝備護甲,No armor equipped
ui.top.status_armor_item_no_bonus_format,%s：無防護效果,%s: no armor effect
ui.top.status_armor_item_bonus_format,%s：每次受擊減少 %.0f 傷害,%s: reduces %.0f damage per hit
ui.top.map_panel_title,區域地圖,Area Map
ui.top.map_panel_hint,早期導覽：確認目前位置、撤離方向與行動狀態。,Early guide for area extraction and raid state
ui.top.map_area,目前區域,Current area
ui.top.map_extraction,撤離方向,Extraction direction
ui.top.map_flow_state,基地 / 出擊狀態,Base / raid state
ui.top.map_note,這是早期文字地圖，完整大地圖會在核心流程穩定後再製作。,This is an early text map; the full map comes after the core loop is stable
ui.top.map_area_base,基地安全區,Base safe area
ui.top.map_area_refuge_outskirts,避難郊區,Refuge Outskirts
ui.top.map_extraction_base,基地內無撤離壓力,No extraction pressure in base
ui.top.map_extraction_unknown,尋找撤離點標記,Find extraction marker
ui.top.map_extraction_toward,往 %s 的撤離點前進,Head %s to extraction
ui.top.map_flow_base,基地整備中,Preparing in base
ui.top.map_flow_raid,出擊中,In raid
ui.top.map_flow_extracted,已撤離,Extracted
ui.top.map_flow_failed,行動失敗,Raid failed
ui.top.map_flow_ready,準備中,Ready
ui.top.map_unknown,未知,Unknown
ui.top.map_dir_here,目前位置,Here
ui.top.map_dir_n,北,North
ui.top.map_dir_ne,東北,Northeast
ui.top.map_dir_e,東,East
ui.top.map_dir_se,東南,Southeast
ui.top.map_dir_s,南,South
ui.top.map_dir_sw,西南,Southwest
ui.top.map_dir_w,西,West
ui.top.map_dir_nw,西北,Northwest
ui.inventory.equipment,裝備,Equipment
ui.inventory.safe_pocket,安全口袋,Safe Pocket
ui.inventory.backpack_format,背包 (%d/%d),Backpack (%d/%d)
ui.inventory.sort,整理,Sort
ui.inventory.equip,裝備,Equip
ui.inventory.split,拆分,Split
ui.inventory.drop,丟棄,Drop
ui.inventory.split_amount,拆分數量,Split Amount
ui.inventory.split_confirm,確認拆分,Confirm Split
ui.inventory.load,負重,Load
ui.stash.loadout,裝備與背包,Loadout
ui.stash.title_format,倉庫 (%d/%d),Warehouse (%d/%d)
ui.stash.store_hint,點擊左側物品存入倉庫；點擊右側物品取回背包。,Click left-side items to store them; click warehouse items to withdraw.
ui.stash.sort,整理,Sort
ui.stash.currency_title,倉庫金幣,Warehouse Coins
ui.stash.deposit,存入,Deposit
ui.stash.withdraw,提領,Withdraw
ui.stash.deposit_title,存入金幣,Deposit Coins
ui.stash.withdraw_title,提領金幣,Withdraw Coins
ui.stash.transfer_amount,金額,Amount
ui.stash.transfer_confirm,確認,Confirm
ui.stash.transfer_cancel,取消,Cancel
ui.stash.money_deposited,金幣已存入倉庫。,Coins deposited in warehouse.
ui.stash.money_withdrawn,金幣已提領至錢包。,Coins withdrawn to wallet.
ui.stash.money_source_empty,沒有可轉移的金幣。,No coins available to transfer.
ui.stash.money_transfer_failed,無法轉移倉庫金幣。,Could not transfer warehouse coins.
ui.stash.sorted_type,已整理倉庫,Warehouse organized
ui.stash.category.all,全部,All
ui.stash.category.weapon,武器,Weapons
ui.stash.category.ammo,彈藥,Ammunition
ui.stash.category.equipment,裝備,Equipment
ui.stash.category.attachment,配件,Attachments
ui.stash.category.totem,圖騰,Totems
ui.stash.category.medical,藥品,Medicine
ui.stash.category.food,食物,Food
ui.stash.category.other,其他,Other
ui.stash.category_short.all,全,All
ui.stash.category_short.weapon,武,Wpn
ui.stash.category_short.ammo,彈,Ammo
ui.stash.category_short.equipment,裝,Gear
ui.stash.category_short.attachment,配,Mod
ui.stash.category_short.totem,圖,Tot
ui.stash.category_short.medical,藥,Med
ui.stash.category_short.food,食,Food
ui.stash.category_short.other,其,Oth
ui.stash.ready,準備存取物品。,Ready to store or withdraw items.
ui.stash.saved,倉庫已保存。,Warehouse saved.
ui.stash.stash_full,倉庫空間不足。,Warehouse has no room.
ui.stash.backpack_full,背包空間不足。,Backpack has no room.
ui.stash.save_failed,無法保存倉庫。,Could not save warehouse.
ui.stash.withdraw_failed,無法取回物品。,Could not withdraw item.
ui.equipment.primary,主武器,Primary
ui.equipment.sidearm,副武器,Sidearm
ui.equipment.melee,近戰,Melee
ui.equipment.helmet,頭盔,Helmet
ui.equipment.armor,護甲,Armor
ui.equipment.glasses,眼鏡,Glasses
ui.equipment.headset,耳機,Headset
ui.equipment.backpack,背包,Backpack
ui.equipment.charm_1,圖騰 1,Totem 1
ui.equipment.charm_2,圖騰 2,Totem 2
prompt.pickup,按 E 拾取物品,Press E to pick up
prompt.base_interact_format,按 E 互動：%s,Press E: %s
prompt.start_raid_format,按 E 開始出擊：%s,Press E to raid: %s
prompt.open_container,按 E 開啟箱子,Press E to open container
prompt.view_container,按 E 查看箱子,Press E to inspect container
prompt.locked_container,需要鑰匙,Key required
prompt.open_locked_container,按 E 開啟上鎖箱,Press E to open locked container
prompt.opening_locked_container_format,開啟中 %d%%,Opening %d%%
prompt.missing_warehouse_key,需要倉庫鑰匙,Warehouse key required
prompt.missing_key_format,需要%s,%s required
prompt.loot_corpse,按 F 搜刮屍體,Press F to loot body
prompt.view_corpse,按 F 查看屍體,Press F to inspect body
prompt.record_location,按 E 調查訊號塔,Press E to inspect signal tower
prompt.location_recorded,地點已記錄,Location recorded
prompt.extraction_point,撤離點,Extraction point
prompt.extracting_format,撤離中 %.1f 秒,Extracting %.1f sec
prompt.extracted,已撤離,Extracted
ui.container.default_name,物資箱,Supply Crate
ui.container.locked_name,上鎖箱,Locked Cache
ui.container.blue_locked_name,藍色上鎖箱,Blue Locked Cache
ui.container.enemy_corpse,拾荒者屍體,Scavenger Body
ui.container.help,點擊物品移入背包。,Click an item to move it to backpack
ui.container.status_take,點擊物品移入背包。,Click an item to move it to backpack
ui.container.empty,箱子是空的。,Container is empty
ui.container.empty_slot,空格,Empty
ui.container.slot_empty,這個格子是空的。,This slot is empty
ui.container.transfer_unavailable,目前無法轉移物品。,Cannot transfer item now
ui.container.backpack_full,背包已滿，無法放入。,Backpack is full
ui.container.moved_to_backpack,已移入背包。,Moved to backpack
ui.item.weight_format,重量 %.2f kg,Weight %.2f kg
ui.item.value_format,價值 %d,Value %d
item.unknown.name,未知物品,Unknown Item
item.wood.name,木頭,Wood
item.wood.desc,基礎製作材料。可用於建造與修理。,Basic crafting material for building and repair
item.bottled_water.name,瓶裝水,Bottled Water
item.bottled_water.desc,可以飲用的水。生存數值接上前先作為食物物品。,Drinkable water. Works as a food item for now
item.bread.name,麵包,Bread
item.bread.desc,常見食物。生存數值接上前先作為食物物品。,Common food item for now
item.bandage.name,繃帶,Bandage
item.bandage.desc,基礎醫療用品。傷口系統接上前先保留為醫療物品。,Basic medical item for now
item.pistol_S.name,手槍-S,Pistol-S
item.pistol_S.desc,早期副武器。用來驗證基礎射擊流程。,Early sidearm for basic shooting
item.combat_knife.name,戰鬥刀,Combat Knife
item.combat_knife.desc,不需要彈藥的可靠近戰武器。,Reliable melee weapon that does not need ammo
item.smg_S.name,衝鋒槍-S,SMG-S
item.smg_S.desc,高射速的 S 類主武器，適合近距離壓制。,Fast-firing S-class primary weapon for close-range control
item.ammo_S.name,彈藥-S,Ammo-S
item.ammo_S.desc,S 類武器使用的基礎彈藥。,Basic ammo for S-class weapons
item.shotgun_SG.name,散彈槍-SG,Shotgun-SG
item.shotgun_SG.desc,近距離散彈槍，每次射擊同時發射 8 顆彈丸。,Close-range shotgun that fires 8 projectiles per shot
item.ammo_SG.name,彈藥-SG,Ammo-SG
item.ammo_SG.desc,散彈槍-SG 使用的專用彈藥。,Dedicated ammunition for Shotgun-SG
item.light_armor.name,一級護甲,Level 1 Armor
item.light_armor.desc,基礎防護裝備，可降低受到的傷害。,Basic armor that reduces incoming damage
item.basic_helmet.name,基礎頭盔,Basic Helmet
item.basic_helmet.desc,頭部防護裝備。命中部位尚未啟用。,Basic head protection
item.small_backpack.name,小型背包,Small Backpack
item.small_backpack.desc,增加攜帶空間的背包。欄位擴充會在後續接上。,Backpack that expands carrying space
item.warehouse_key.name,倉庫鑰匙,Warehouse Key
item.warehouse_key.desc,開啟上鎖箱時會消耗一把。,Consumed when opening a locked cache
item.grenade.name,手榴彈,Grenade
item.grenade.desc,投擲爆裂物。範圍傷害尚未啟用。,Throwable explosive. Area damage comes later
item.old_watch.name,舊懷錶,Old Watch
item.old_watch.desc,帶有年代感的貴重品。可先作為出售物。,Aged valuable item
item.military_document.name,軍用文件,Military Document
item.military_document.desc,記載撤離與敵人配置的情報文件。,Intel document about extraction and enemies
item.extended_magazine.name,加長彈匣-S,Extended Magazine-S
item.extended_magazine.desc,提高武器彈匣容量 4 發，支援手槍、衝鋒槍與散彈槍。,Increases magazine capacity by 4 for pistols SMGs and shotguns
item.stamina_potion.name,體力藥水,Stamina Potion
item.stamina_potion.desc,暫時恢復或提升體力的消耗品。,Consumable that restores stamina for now
item.life_totem.name,圖騰：生命,Totem: Life
item.life_totem.desc,裝備後提高最大生命的特殊圖騰。,A special totem that increases maximum health while equipped.
item.tactical_headset.name,戰術耳機,Tactical Headset
item.tactical_headset.desc,可裝備在耳機欄位的戰術聽覺裝備。,Tactical hearing gear that fits the headset slot
item.tactical_glasses.name,戰術眼鏡,Tactical Glasses
