id,category,reference_source,reference_name,dcg_target,use,notes,status
duckov_meshindex_overview,reference_index,Duckov MeshIndex_20260706,MeshIndex_20260706.csv,DCG original asset planning,Search external mesh names and estimate object complexity,Analysis only. Do not import extracted assets.,active
industrial_cover_set,cover_prop,Duckov MeshIndex_20260706,industrial cover and barrier meshes,dcg_original_industrial_cover_set,Plan original cover props for raid lanes,Use as density and silhouette reference only.,planned
loot_container_family,loot_container,Duckov MeshIndex_20260706,container and shelf meshes,dcg_original_loot_container_family,Plan lootable crate shelf and stash props,Map to DCG loot table roles instead of copying source meshes.,planned
road_edge_props,road_prop,Duckov MeshIndex_20260706,road guardrail and edge props,dcg_original_road_edge_props,Plan road boundary and navigation readability props,Create original modular Godot props.,planned
roof_platform_shapes,building_prop,Duckov MeshIndex_20260706,roof and platform meshes,dcg_original_roof_platform_shapes,Plan simple building silhouettes and raised traversal blockers,Use simplified blockout first.,planned
vehicle_junk_pile,cover_prop,Duckov MeshIndex_20260706,vehicle pile meshes,dcg_original_vehicle_junk_pile,Plan original junk cover cluster for combat readability,Keep names and mesh shapes original to DCG.,planned
lab_wall_density,interior_prop,Duckov MeshIndex_20260706,lab wall and interior meshes,dcg_original_interior_wall_density,Estimate interior prop density budget,Use only for category and complexity planning.,planned
duckov_s_pistol_balance,weapon_balance,Duckov Weapons Wiki,PM and TT-33 S pistols,dcg_pistol_S_balance,Plan Pistol-S as high single-shot small-caliber sidearm,Duckov values are analysis only and DCG keeps original scale names and implementation.,implemented
duckov_s_smg_balance,weapon_balance,Duckov Weapons Wiki,MP5 S SMG,dcg_smg_S_balance,Plan SMG-S as lower per-shot but stronger sustained-fire small-caliber weapon,Duckov values are analysis only and DCG keeps original scale names and implementation.,implemented
duckov_melee_knife_balance,weapon_balance,Duckov melee weapon tables,Fixed Blade Knife and small knife class,dcg_combat_knife_balance,Plan Combat Knife as early reliable melee sidearm with moderate damage and repeatable swing,Duckov values are analysis only and DCG keeps original scale names and implementation.,implemented
